set_id,arm,seed,model,garment,identity,scene,clean,hands,realism,note,seconds,tokens_in,tokens_out
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,VS,49,gpt-5.5,1,4,5,4,4,4,"Generated outfit is a sleeveless gray vest/blazer look, not the black strapless ribbed dress with back zipper and slit from the reference. Person, pose, and plain studio background are mostly preserved; image is fairly clean and realistic with acceptable hands.",7.7,1613,220
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,VE,49,gpt-5.5,2,4,5,4,4,4,"White cropped blazer and wrap detail are partially matched, but the reference skirt is replaced by trousers and the overall cut differs. Identity, pose, and background are mostly preserved; minor seam/fit artifacts around waist and pants.",8.06,1555,289
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,VS,49,gpt-5.5,2,4,5,4,4,4,"The white cropped blazer is somewhat similar, but the reference has a long skirt/wrap bottom while the result uses trousers, so the garment is not exact. Identity and scene are largely preserved; hands look acceptable. Minor AI issues around the waist/torso and fabric structure.",8.44,1555,281
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,VEi,49,gpt-5.5,2,5,5,4,4,4,"Identity, pose, and plain studio background are well preserved. The output only captures a black ribbed strapless dress element; it adds a beige sleeveless lapel/vest, keeps the original pin/necklace, and misses the reference belt/back-zip/slit styling. Minor texture/seam and jewelry artifacts, but overall fairly realistic.",9.09,1613,327
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,VE,49,gpt-5.5,2,4,4,3,3,4,"Black dress color/texture is similar, but the generated garment changes key reference details: it adds thick straps and a front zipper, omits the belt/back zipper/slit and full-length silhouette. Identity and plain studio scene are mostly preserved. Some hand/jewelry artifacts and seam oddities are visible, though overall it still looks fairly photographic.",9.15,1613,303
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,VEi,49,gpt-5.5,2,5,5,4,4,4,"Output uses a white suit-like outfit but does not match the reference garment's cropped jacket, exposed midriff, wrap detail, or long skirt; it is converted into men's trousers. Identity, pose, and background are well preserved with only minor texture/anatomy issues.",9.17,1555,251
dualuse_lp_floral_kimono_set+g005,VEi,49,gpt-5.5,2,4,4,3,3,3,"Reference athletic shirt and shorts are partially transferred, but the original floral robe, bag, sandals/leg coverings remain and shoes are missing. Identity, pose, and background are mostly preserved, with some artifacts around seams, legs, and hand/garment interactions.",9.45,1903,358
dualuse_lp_floral_kimono_set+g005,VE,49,gpt-5.5,2,4,4,3,3,3,"Reference shirt and shorts are partially transferred, but the original floral robe, bag, sandals, and lower floral fabric remain, and shoes/cut/details do not match the reference exactly. Identity and studio scene are mostly preserved, with some artifacts around legs, seams, and partially obscured hands.",9.66,1903,374
dualuse_lp_floral_kimono_set+g024,VE,49,gpt-5.5,2,4,5,3,4,4,"Reference sweater and blue pleated skirt are partially matched, but shoes are wrong, original hat/bag/sandals remain, and floral garment remnants appear. Identity and pose/background are mostly preserved, with some clothing integration artifacts.",5.47,2018,358
dualuse_lp_floral_kimono_set+g024,VEi,49,gpt-5.5,2,4,4,2,2,3,"Reference outfit is only partially transferred: black striped sweater and blue pleated skirt are present, but the sweater cut is altered, sneakers are missing, and original floral garment/bag remnants remain. Identity and studio pose/background are mostly preserved, but there are visible fabric/limb/hand artifacts and the result is only moderately realistic.",5.15,2018,381
