set_id,arm,seed,model,garment,identity,scene,clean,hands,realism,note,seconds,tokens_in,tokens_out
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,VEi,46,gpt-5.5,3,5,5,4,4,4,"Blue one-shoulder style and color are captured, but the full reference gown details such as skirt, slit, and waist cutout are not accurately visible/recreated; necklace remains. Identity, pose, and plain background are well preserved. Minor texture/hand imperfections but overall realistic.",10.37,1527,357
dualuse_emma_watson_black_blazer_armscrossed+g004,VEi,46,gpt-5.5,4,5,5,4,4,4,"Reference outfit is mostly matched in visible areas: black ribbed crewneck top and olive high-waist trousers, though full pant cut and accessories are not visible and the original necklace remains. Identity, pose, and background are well preserved. Minor texture/seam softness and slight hand imperfections, but overall realistic.",10.47,1700,487
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,VEi,46,gpt-5.5,2,5,5,4,4,4,"Identity, pose, and plain studio background are well preserved. The garment only partially matches the reference: black ribbed fitted style is present, but the cut is different with added thin straps/arm sleeves and missing the distinctive full-length dress, back zipper, slit, and belt structure. Mostly clean and realistic, with minor seam/accessory oddities.",46.08,1613,568
dualuse_hugh_jackman_grey_suit_outdoor+g009,VEi,46,gpt-5.5,4,4,4,4,4,4,"Reference outfit is mostly reproduced including cream sweater, trousers, bag, and sneakers, though knit texture/cut and pant fit are not exact. Identity and background are largely preserved, with minor body/pose changes. Image is fairly clean and realistic, with slight AI smoothness and minor hand/edge imperfections.",6.96,1642,293
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_man_black_suit_studio_nonceleb,VEi,46,gpt-5.5,4,4,5,4,4,4,"Reference black suit with white shirt and striped tie is mostly transferred, though details/cut are not perfectly exact. Identity, pose, and Sydney waterfront background are largely preserved. Minor smoothing and slight hand/finger imperfections, but overall realistic.",7.29,1555,374
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,VEi,46,gpt-5.5,2,5,5,4,5,4,"Color and blazer style are loosely similar, but the reference is a cropped white blazer with exposed midriff and a long skirt/wrap detail; the output changes it into a full-length jacket with pants and different shoes. Identity, pose, and background are well preserved with only minor texture/artificiality issues.",8.1,1555,410
dualuse_emma_watson_black_blazer_armscrossed+g027,VEi,46,gpt-5.5,4,4,4,3,4,4,"The Ramones black T-shirt is close in color, cut, and graphic, though the print is slightly distorted/partly obscured and not perfectly identical. The original face and hair are well preserved, with pose/background mostly unchanged. There are some artifacts including an added arm tattoo, soft/odd seams and print texture, and slightly imperfect hands, but overall it remains fairly photo-realistic.",8.5,1556,417
dualuse_gal_gadot_blue_dress_redcarpet+g029,VEi,46,gpt-5.5,3,4,4,2,3,3,"Blazer and white top are close to the reference, but the black pants are changed into a skirt/odd pant-leg hybrid and some details differ. Identity and event background are mostly preserved. Lower body/feet show clear artifacts, with some hand/finger distortion.",8.74,1441,360
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_hugh_jackman_grey_suit_outdoor,VEi,46,gpt-5.5,3,4,4,3,4,4,"Suit color and general blazer/shirt/pants concept match the reference, but the trousers fit/cut differ and footwear is inconsistent with one original sandal remaining. Identity and background are mostly preserved, with some lower-body/foot artifacts.",9.47,1383,454
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,VEi,46,gpt-5.5,3,5,4,3,4,4,"Garment broadly matches the black tank and denim skirt, but details are imperfect and footwear is mismatched with one original sandal and one sneaker. Identity and background are well preserved, though lower pose/feet change. Some visible artifacts around hem, hand, and shoe area.",11.04,1383,597
dualuse_gal_gadot_blue_dress_redcarpet+g005,VEi,46,gpt-5.5,3,5,5,3,4,4,"Shirt and shorts roughly match the reference, but details are imperfect and footwear is mismatched with one sandal and one sneaker. Identity, pose, and background are well preserved. Some shorts/seam distortions and logo artifacts reduce cleanliness, though the image remains fairly photo-realistic.",11.41,1499,608
dualuse_lp_beige_long_coat_menswear+dualuse_lp_floral_kimono_set,VEi,46,gpt-5.5,3,4,3,4,4,4,"Main blue floral cream outfit is captured, but accessories/footwear from the reference are missing and the cut differs. Identity and background are mostly preserved, though pose changes. Image is generally clean and realistic with minor hand/fabric imperfections.",6.48,1671,448
dualuse_lp_beige_long_coat_menswear+g004,VEi,46,gpt-5.5,3,4,3,4,4,4,"Main black ribbed top and olive trousers are close to the reference, but the original beige coat remains and the reference styling/accessory is missing; pose is only partially preserved. Identity and realism are good with minor hand/edge issues.",6.2,1642,376
dualuse_lp_beige_long_coat_menswear+g018,VEi,46,gpt-5.5,2,4,3,4,4,4,"Black color and general formal styling are captured, but the reference jacket cut is not exact: output becomes a longer structured coat/suit with different lapels, pockets, buttons, and proportions. Identity is mostly preserved; background and stance are similar but not unchanged. Minor AI inconsistencies, otherwise fairly realistic.",7.11,1671,405
dualuse_lp_floral_kimono_set+g005,VEi,46,gpt-5.5,1,4,5,3,4,4,"Only the black shirt/logo from the reference appears; the shorts, compression layer, shoes, and overall athletic outfit are missing, with most original patterned garments retained. Person, pose, and background are largely preserved, with some integration artifacts around the shirt and waist.",6.55,1903,455
dualuse_lp_floral_kimono_set+dualuse_lp_navy_quarterzip_knit_LOWRES,VEi,46,gpt-5.5,2,4,5,3,4,3,"Generated outfit only partially matches the reference: navy top/pants are present but the cut is transformed into a kimono-like robe, grey trousers, cable-knit detail, shoes, and brown bag are missing, with original floral cuffs/bag retained. Identity and pose/background are largely preserved, but there are seam/texture oddities and hybrid garment artifacts.",7.2,1845,434
dualuse_lp_floral_kimono_set+g024,VEi,46,gpt-5.5,2,4,4,3,4,4,"Reference sweater and blue pleated skirt are partially transferred, but cut/proportions are wrong, sneakers are missing, and original floral bag/cuff elements remain. Identity and studio background/pose are mostly preserved, with some clothing/leg artifacts.",7.68,2018,436
dualuse_lp_navy_quarterzip_knit_LOWRES+dualuse_lp_plaid_overcoat_brown_suit,VEi,46,gpt-5.5,3,4,5,4,4,4,"Generated outfit captures the plaid overcoat and brown suit palette but misses the reference cap, changes proportions/cut, and retains the original bag. Identity and pose/background are well preserved; minor AI smoothness and small hand/neck details reduce cleanliness and realism.",6.55,1787,403
dualuse_lp_navy_quarterzip_knit_LOWRES+g009,VEi,46,gpt-5.5,3,4,5,4,4,4,"Garment captures the cream cable sweater, trousers, shoulder bag and sneakers, but the neckline/undershirt are wrong and the original brown handbag remains as an extra item. Identity, pose and studio background are largely preserved; minor AI smoothness and blending issues remain.",6.51,1758,390
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,VEi,46,gpt-5.5,3,4,4,4,4,4,"Output captures the navy double-breasted coat and jeans direction, but misses the gray turtleneck and reference boots, and the styling/cut is not exact. Identity and studio scene are mostly preserved, with minor pose and rendering differences.",7.52,2018,475
dualuse_lp_plaid_overcoat_brown_suit+g029,VEi,46,gpt-5.5,2,4,4,4,4,4,"Reference houndstooth blazer is only partially transferred: pattern/color appear, but cut becomes a long coat and original brown suit/pants/shoes remain instead of the white tee and black pants. Identity and studio scene are mostly preserved, with minor pose/hand changes and slight AI texture issues.",6.47,1845,378
dualuse_lp_navy_quarterzip_knit_LOWRES+g027,VEi,46,gpt-5.5,4,4,5,4,4,4,"The black Ramones T-shirt, color, and cut are close to the reference, but the graphic is not perfectly reproduced and slightly distorted. The original model, pose, pants, bag, and studio background are largely preserved. Some artifacts remain around the neck and print, with minor hand imperfections, but overall it reads fairly realistic.",8.76,1614,618
dualuse_lp_plaid_overcoat_brown_suit+g011,VEi,46,gpt-5.5,2,3,4,3,3,4,"Reference is a fitted black sleeveless midi dress, but output becomes a black sleeveless culotte/jumpsuit-like garment and leaves the original plaid coat, hat and shoes. Face and studio background are mostly preserved, but body/clothing shape changes and there are some seam/hand blending issues.",7.14,1903,414
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,VEi,46,gpt-5.5,4,4,5,4,3,4,"Garment is a close match in overall beige long coat, inner layers, cropped trousers, black socks and shoes, but details and fit differ from the reference. Identity and pose/background are mostly preserved. Hands show some awkward finger shaping, and the image is generally clean but slightly AI-polished.",6.87,1555,397
dualuse_man_black_suit_studio_nonceleb+dualuse_queen_latifah_gown_stage,VEi,46,gpt-5.5,3,4,5,4,3,4,"The tan outer garment and black inner outfit are broadly similar but not exact: the cut, length, sleeve fit, and lower garment differ noticeably. Face, hair, pose, and plain studio background are mostly preserved. Some hand/finger blending and AI-like garment texture details are visible, though overall it remains fairly photorealistic.",6.18,1555,406
dualuse_navy_peacoat_onmodel+g004,VEi,46,gpt-5.5,4,4,5,4,3,3,"Reference outfit is mostly transferred: black fitted long-sleeve top and olive high-waist trousers, but trouser width/drape and shoes/details differ and bag is omitted. Original pose/background are preserved and identity is close, though proportions and rendering are somewhat AI-smoothed. Hands are visible and slightly simplified.",6.52,2104,364
dualuse_man_black_suit_studio_nonceleb+g011,VEi,46,gpt-5.5,4,4,4,4,3,4,"Dress color, sleeveless square-neck cut and vertical seams are close to the reference, though fit/neckline and proportions differ slightly. Face, hair and studio background are mostly preserved, but hands/fingers look somewhat malformed and the body/skin has mild AI smoothing.",7.99,1671,495
dualuse_navy_peacoat_onmodel+g030,VEi,46,gpt-5.5,3,4,5,3,3,3,"Gold sequin jacket is broadly similar but cut, proportions, inner layers and lower pieces do not exactly match the reference. Identity and pose/background are mostly preserved. Hands and textures look somewhat artificial, and the image has a rendered/overexposed quality.",6.43,2248,376
dualuse_queen_latifah_gown_stage+dualuse_scarlett_johansson_black_dress_backview_night,VEi,46,gpt-5.5,2,4,5,4,4,4,"Black strapless ribbed look and belt are partially captured, but the reference is a fitted back-zip slit dress while the output looks more like a front-zip jumpsuit/dress with incorrect zipper details and missing the back-slit design. Identity, pose, and background are largely preserved; minor garment/seam oddities and slightly imperfect hands.",6.24,1555,358
dualuse_navy_peacoat_onmodel+g012,VEi,46,gpt-5.5,4,4,5,4,3,3,"Reference dress is largely matched in color, floral print, V-neck, sleeveless cut and long skirt, though fit/details are slightly simplified. Face and hair remain close to image 1, with pose/background unchanged. Some smoothing and hand/finger artifacts reduce cleanliness and realism.",7.86,2133,322
dualuse_queen_latifah_gown_stage+g012,VEi,46,gpt-5.5,3,4,4,3,4,4,"Dress color/print and V-neck style are close, but cut/details are not exact and a cape-like remnant/artifact appears on one side. Identity and stage scene mostly preserved; pose is largely unchanged. Some fabric/seam artifacts, hands mostly acceptable, overall fairly photographic.",7.89,1671,366
