set_id,arm,seed,model,garment,identity,scene,clean,hands,realism,note,seconds,tokens_in,tokens_out
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,BC,48,gpt-5.5,3,5,5,4,4,4,"Blue one-shoulder style is close, but the reference dress details such as the waist cutout, drape, and slit are not fully reproduced/visible. Identity, pose, and background are largely preserved. Minor seam/arm blending artifacts; hands look mostly correct.",6.08,1527,249
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,BC,46,gpt-5.5,3,5,5,4,4,4,"Garment captures the blue one-shoulder style and cutout but is incomplete/altered, with the full gown, slit, and drape not visible or not accurately reproduced. Identity, pose, and plain background are largely preserved. Minor AI smoothing/artifacts around arms and fabric, hands mostly plausible.",9.42,1527,437
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,V,48,gpt-5.5,3,5,5,4,4,4,"Blue one-shoulder cut and side cutout are approximated, but only the upper portion is shown and the reference gown details like wrap skirt, high slit, and drape are missing. Identity, pose, and background are well preserved; minor fabric/edge artifacts.",4.18,3095,629
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,BC,48,gpt-5.5,3,4,5,4,4,4,Black strapless textured dress is similar in color/material but not exact: front zipper/sweetheart bust and cropped length differ from the reference back-view dress. Identity and studio pose/background are mostly preserved; minor jewelry/tattoo/seam artifacts.,6.79,1613,335
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,V,47,gpt-5.5,2,4,4,3,3,4,"Reference blue one-shoulder cutout dress is only partially reproduced; long skirt, high slit and overall drape are missing. Identity, pose and plain background are mostly preserved, but arm/garment seams and hands show some artifacts.",3.56,4661,568
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,V,46,gpt-5.5,3,4,5,3,4,4,"The result captures a black textured strappy dress but does not exactly match the reference cut/details, especially the back zipper/slit and overall silhouette. Identity and original pose/background are well preserved, with some garment/arm texture artifacts and minor hand issues.",7.23,1613,368
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,BC,47,gpt-5.5,3,4,5,3,4,4,"Black strapless textured dress is broadly similar, but zipper/front detailing differs from the reference back-zip/slit design and full length is not shown. Face, hair, pose, and background are largely preserved, with some artifacts around jewelry, neckline, skin texture, and seams.",8.21,3262,867
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,BC,47,gpt-5.5,3,4,5,4,3,4,"Output captures the one-shoulder blue dress and waist cutout, but color is lighter and the full gown/slit/drape details are not represented. Face, hair, pose, and plain background mostly match the original. Minor hand/finger awkwardness and slightly synthetic fabric/skin texture.",18.38,1527,308
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,BC,46,gpt-5.5,2,4,4,4,4,4,"Black strapless textured dress is similar in color/style, but reference details like back zipper placement, waistband, long silhouette and slit are not accurately represented. Identity and studio scene are mostly preserved; minor arm/hand and texture issues.",7.45,3264,950
dualuse_emma_watson_black_blazer_armscrossed+dualuse_gal_gadot_blue_dress_redcarpet,V,46,gpt-5.5,3,4,5,4,4,4,"Blue one-shoulder style and general color match the reference, but the full gown details such as the waist cutout, wrap skirt, high slit, and floor length are not accurately represented or visible. Identity, pose, and background are largely preserved; minor garment/arm artifacts remain.",5.52,4659,1027
