set_id,arm,seed,model,garment,identity,scene,clean,hands,realism,note,seconds,tokens_in,tokens_out
dualuse_lp_floral_kimono_set+g005,FAL,46,gpt-5.5,2,3,5,3,4,3,"The result only adds parts of the reference sports outfit while retaining the original robe, patterned pieces, hat, bag, and sandals. Face and pose/background are mostly preserved, but the body/legs and layered clothing look inconsistent with some artifacts.",10.23,1903,379
dualuse_lp_floral_kimono_set+g024,FAL,46,gpt-5.5,3,4,4,4,4,4,"Reference sweater and blue pleated skirt are mostly transferred, but shoes are wrong, original hat/bag/sandals remain, and cut/proportions differ. Identity and pose/background are largely preserved with minor AI softness and slight foot/texture issues.",11.19,2018,401
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,FAL,46,gpt-5.5,3,4,5,3,3,4,"White cropped blazer and exposed midriff are close, but the reference has a long skirt/wrap silhouette while the output turns it into trousers and simplifies details. Identity and background/pose are mostly preserved. Some artifacts appear around the waist, seams, fabric texture, and fingers.",11.83,1555,320
dualuse_navy_peacoat_onmodel+g030,FAL,46,gpt-5.5,3,4,5,4,4,4,"Gold sequin top is similar in color and sparkle, but the cut/fit and lower garment differ from the reference. Person, pose, and plain studio background are mostly preserved; minor AI smoothness/artifacts in fabric and hands.",13.16,2248,455
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,FAL,46,gpt-5.5,4,5,5,4,4,5,"The navy double-breasted coat, cuffed jeans and black boots are transferred well, but the gray turtleneck from the reference is missing. Identity, hair, pose and background are well preserved; only minor hand/texture imperfections.",6.69,3609,714
g014+g029,FAL,46,gpt-5.5,2,4,5,4,4,4,"Blazer color and houndstooth print are similar, but the generated outfit adds a matching skirt and omits the black pants/belt from the reference, so the garment is not exact. Identity and pose/background are largely preserved; minor texture/pattern artifacts but overall realistic.",7.82,1845,422
g005+g014,FAL,46,gpt-5.5,2,5,5,3,4,3,"Blue slip-dress concept is present, but the cut/length are wrong, a front split and original Under Armour logo/text remain, so it is not an exact match. Identity, pose, and background are well preserved; some garment artifacts reduce cleanliness and realism.",9.33,1903,396
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,FAL,46,gpt-5.5,3,5,5,4,4,4,"Black strappy ribbed dress and jewelry are broadly matched, but key reference details like the back zipper/slit and belt/cut are not fully reproduced in this front cropped view. Identity, pose, and plain studio background are preserved; minor texture/jewelry/hand imperfections remain.",7.41,3262,809
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,FAL,46,gpt-5.5,3,5,5,4,4,5,"Output captures the black top and denim mini skirt but misses the reference sneakers and the skirt color/cut/details are not exact. Identity, pose, and background are well preserved with only minor texture/seam and hand-detail issues.",8.04,4738,926
g024+p002,FAL,46,gpt-5.5,2,4,4,3,2,4,"Top and shoes partially match the reference, but the black jeans are missing and the original blue skirt remains. Identity and studio scene are mostly preserved. Some artifacts around the hidden hand, skirt/leg transition, and seams.",6.87,2017,327
g027+p003,FAL,46,gpt-5.5,3,4,5,4,5,4,"Burgundy sleeveless dress is broadly matched, but neckline/cut and visible proportions differ from the reference. Person, pose, and white background are mostly preserved; hands are hidden. Minor texture/fit artifacts reduce realism.",8.73,1470,387
p001+p014,FAL,46,gpt-5.5,3,4,5,4,4,4,"Plain white crew-neck T-shirt is captured, but the generated cut is cropped/boxier and lacks the reference drape/tucked length. Person, pose, jeans, feet, and studio background are mostly preserved. Minor smoothing/artifacting but generally realistic; hands look acceptable.",7.23,1555,346
g018+g024,FAL,46,gpt-5.5,4,5,5,4,4,4,"Reference sweater and blue pleated skirt are reproduced well with close colors and stripes, though stripe placement/fit and skirt fullness are not exact. Identity, pose, and plain background are preserved. Minor texture/edge artifacts and slightly awkward hand details, but overall realistic.",6.54,4071,750
p013+dualuse_scarlett_johansson_black_dress_backview_night,FAL,46,gpt-5.5,3,4,5,4,3,4,"Black strappy dress is broadly similar in color/top style but misses the reference back zipper, slit, length details, and full silhouette due the unchanged front pose. Identity and scene are mostly preserved; hands/fingers and jewelry look slightly artificial.",9.87,1555,400
p003+p026,FAL,46,gpt-5.5,2,4,4,2,3,3,"Garment resembles the black tracksuit with red/green stripe but cut and details differ, accessories are missing, and remnants of the original burgundy dress remain. Identity and background are mostly preserved, with some artifacts around clothing, feet, and hands.",7.66,3263,752
p015+p016,FAL,46,gpt-5.5,3,4,5,3,4,4,"Garment captures the pale yellow sleeveless dress idea but not the full reference cut/details, and visible styling differs. Face, pose, and background are mostly preserved. Some seam/jewelry artifacts and minor hand/finger issues are present, but overall photorealistic.",14.12,1555,571
p019+dualuse_gal_gadot_blue_dress_redcarpet,FAL,46,gpt-5.5,2,5,5,3,5,4,"Blue one-shoulder upper portion is roughly captured, but the full gown, waist cutout, slit, and skirt are absent, and original beige sleeves remain as artifacts. Identity, pose, and plain background are preserved; hands are not visible.",7.79,1469,350
p011+p024,FAL,46,gpt-5.5,2,4,4,3,4,3,"Garment only partially resembles the reference gray shirt and pants; cut, layering, color, and details differ, and original hat/glasses remain. Identity and pose/background are mostly preserved, with some AI texture and seam artifacts.",9.27,3147,889
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,FAL,46,gpt-5.5,4,4,5,4,4,4,"Reference outfit is mostly transferred: navy cable quarter-zip, gray trousers, and brown bag are present, though underlayer/cut details are not exact and the pose changes arm/bag placement. Identity and scene are largely preserved; minor texture/hand artifacts but overall realistic.",2.66,3263,523
p015+dualuse_zendaya_white_blazer_skirt,FAL,46,gpt-5.5,2,4,5,3,2,4,"White blazer style is only partially transferred; the cropped jacket, exposed midriff, and long skirt/wrap outfit are not accurately reproduced. Person identity and scene are mostly preserved, but hands/fingers show distortions and some clothing seams are unnatural.",8.25,3146,759
